strategy,dataset,model,ratio,iteration,mIoU,aAcc,fwIoU,num_images,timestamp,mIoU_clear_day,mIoU_cloudy,mIoU_dawn_dusk,mIoU_foggy,mIoU_night,mIoU_rainy,mIoU_snowy,best_mIoU,is_best
gen_LANIT,idd-aw,deeplabv3plus_r50,0.25,50000,65.7030678269088,97.19506695039748,94.9428768895267,2928,20260104_231944,65.63898443337226,65.52831446877619,57.83063570176425,57.97402636482728,58.39111747835203,57.56994671884389,50.24705527624328,71.04175202421412,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.25,60000,68.09089618907153,97.55339026892543,95.54595834013833,2928,20260104_233143,67.62069990189444,69.59913865863048,58.70733817632169,65.67858960163394,59.86365335799818,60.28825993363562,52.973648605643774,71.04175202421412,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.25,70000,69.68514762549773,97.76942067338229,95.90251838973265,2928,20260104_234323,69.29150996177945,71.82179256741905,60.76316643623054,67.8391631248451,60.71584626945803,59.96791233587436,56.48046972384433,71.04175202421412,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.25,80000,71.04175202421412,97.94453184378239,96.20044403416757,2928,20260104_235514,70.52696193811812,72.88114023884025,60.58680882274958,70.5812784000413,63.63881867119989,63.30797468868311,57.67756559044184,71.04175202421412,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,10000,52.253462653305036,94.52068219648955,90.35681729003328,2928,20260104_222736,51.667152979825936,50.53112762701901,38.7344266942797,42.72256261650509,39.78236664140915,44.34083365067507,34.014971061877,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,20000,60.71972377710391,96.31389669299126,93.44529866240383,2928,20260104_223756,60.8490630576493,61.79623588382164,47.48810489829266,53.83038304880987,48.49461730344131,48.61990145717435,40.934573622096615,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,30000,64.18598540923097,96.90573039463303,94.42801305254147,2928,20260104_224830,64.63755376422574,64.65679255095291,52.3730091570257,57.470121171257205,55.764070940224556,54.75242093952766,44.219942858860996,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,40000,65.89073838642223,97.11107778465549,94.77127377620754,2928,20260104_225823,66.26306190442833,67.79349213189863,56.56742655563567,60.30375607466196,54.88676065840882,56.23267042107554,43.7054514688363,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,50000,66.86202739554578,97.39732499297824,95.33814458203447,2928,20260104_230830,66.77648132814453,66.92418973980476,59.26810253134251,59.60563384435067,59.02983043788813,58.45474382751913,54.10201131223447,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,60000,70.68111703701369,97.90253751081815,96.17651048925505,2928,20260104_231903,70.06306617152012,72.90729895222078,62.60151576633135,69.76358528174582,63.0950744645842,63.55611166581801,55.866331737099394,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,70000,71.57560462525787,98.02747789868295,96.36918836592501,2928,20260104_232859,71.01293722687922,73.16823352660793,64.3514637985686,70.87597527413949,64.58609362867114,64.05421943300304,58.11617007101655,73.47220916081571,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,80000,73.47220916081571,98.271707782619,96.77729284104522,2928,20260104_233953,72.90244246081122,75.26635492746114,66.26883932945793,73.00630655693658,67.37764281175608,66.5616595024889,59.16790041502931,73.47220916081571,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,10000,49.68366359295814,93.87092410498953,89.59376250349847,2928,20260104_221659,50.78986595142094,48.54829494608055,32.10480792867912,40.949148074210186,35.990219552643566,34.9079750865245,30.323927459346223,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,20000,58.048859394756846,95.64218679116289,92.33174561295165,2928,20260104_222647,58.45049163239735,58.959548988800556,42.136789668036265,48.6022766856815,43.421349963604115,44.281334937010584,38.086846945201685,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,30000,60.629030977130725,96.32714924879402,93.43922057556246,2928,20260104_223715,61.66659791598184,62.07880848270002,44.8766723758519,51.077228919838326,45.04778185444288,48.97260270795593,41.64574361217418,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,40000,63.42169830068305,96.72648726576332,94.07258019338032,2928,20260104_224738,64.0247767643625,66.46683732000098,51.61683693763782,60.78873876199604,49.56761401315831,50.87691454532599,44.83130092913301,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,50000,64.1514248885426,96.80627349951418,94.44549858832059,2928,20260104_225729,63.758961431993995,66.99498585653116,52.63222458434924,61.748692825261585,58.19896609762305,54.01535663330543,50.18359145665362,71.97308028433744,False
