strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_EDICT,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.89,90.38,98.77,97.68000030517578,1767719590.9484396,False,False
gen_EDICT,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.51,86.03,98.46,97.11000061035156,1767719591.0083935,False,False
gen_EDICT,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,23.11,41.8,51.3,32.27000045776367,1767719591.0327437,False,False
gen_EDICT,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,23.95,37.58,52.41,36.31999969482422,1767719591.0601225,False,False
gen_EDICT,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,32.6,48.92,64.78,48.02000045776367,1767719591.0906854,False,False
gen_EDICT,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,32.13,46.36,64.48,48.38999938964844,1767719591.1217606,False,False
gen_EDICT,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,66.95,72.5,93.98,89.06999969482422,1767719591.1569707,False,False
gen_EDICT,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,69.76,75.51,93.8,88.5999984741211,1767719591.1920958,False,False
gen_EDICT,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,56.41,67.09,86.84,78.22000122070312,1767719591.2244623,False,False
gen_EDICT,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,56.44,66.73,85.56,76.47000122070312,1767719591.2572906,False,False
gen_EDICT,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/pspnet_r50/test_results/test/metrics.json,63.39,72.81,88.82,81.19000244140625,1767719591.306563,False,False
gen_EDICT,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.56,71.43,88.06,79.75,1767719591.3442595,False,False
gen_EDICT,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.71,84.47,92.8,87.12999725341797,1767719591.378643,False,False
gen_EDICT,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,74.15,82.7,92.05,85.83000183105469,1767719591.4176862,False,False
gen_IP2P,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,46.9,53.08,95.81,92.48999786376953,1767719591.6402695,False,False
gen_IP2P,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,49.31,54.75,96.3,93.16999816894531,1767719591.6730633,False,False
gen_IP2P,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/pspnet_r50/test_results/test/metrics.json,58.79,62.99,97.23,94.69999694824219,1767719591.7034233,False,False
gen_IP2P,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.35,58.84,96.8,93.94000244140625,1767719591.7341309,False,False
gen_IP2P,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/segformer_mit-b5/test_results/test/metrics.json,64.59,68.11,97.63,95.44000244140625,1767719591.7684925,False,False
gen_IP2P,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,64.52,68.54,97.38,94.97000122070312,1767719591.8068233,False,False
gen_IP2P,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,71.54,77.17,98.0,96.29000091552734,1767719591.8384652,False,False
